timestamp,evaluator,persona_id,scenario_id,entry_point,first_action,activation_path,task_plan_type,evaluation_mode,evidence_type,artifact_ref,score_entry_clarity,score_activation_fit,score_trust_ramp,score_task_framing,score_understanding,score_trust,score_control,score_time_value,score_output_professionalism,score_revision_efficiency,score_memory_growth,score_annoyance,score_recommendation,friction_codes,launch_severity,finding_summary,exact_evidence,recommended_fix,owner
2026-04-01T18:30:00+08:00,Codex,P1,INIT-E1-A1-01,friend_referral,send_photos,video_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,4,4,3,3,4,4,3,3,3,2,2,2,3,"VALUE-02;INIT-05",P1,Photo send works but first trial is not the shortest path,"listing_video/start_video with awaiting=style_selection",Default style or defer style choice until preview/revision,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P1,INIT-E1-A2-01,friend_referral,ask_what_is_this,trust_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,2,2,2,2,2,2,2,2,3,2,1,4,1,"INIT-02;INIT-04",P1,App/setup confusion is answered with generic welcome,"Is this an app? How do I use this? -> first_contact/welcome",Add a trust/setup intent with one short answer plus one next step,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P5,INIT-E1-A3-01,friend_referral,ask_security,trust_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,1,1,1,2,1,1,2,2,3,2,1,5,1,"TRUST-01;TRUST-02",P0,Security question is not answered directly,"How do I know this is secure and not spam? -> first_contact/welcome",Return a direct trust answer and only then a starter task,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P3,INIT-E2-A5-01,landing_page,complete_onboarding_form,form_first,single_next_step,manual_review,page_review,"console/router.py;console/templates/onboarding_form.html",1,1,2,1,2,2,2,1,2,2,1,5,1,"INIT-05;VALUE-01",P1,Form is positioned as setup before value,"Invite says I need 60 seconds of your time and form says takes about 1 minute",Reframe onboarding as optional acceleration not entry gate,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P1,INIT-E2-A1-01,landing_page,send_photos,video_first,single_next_step,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:T1",2,2,2,2,2,2,2,2,3,2,1,4,2,"INIT-03;INIT-05",P1,Video-first landing entry is not implemented as a real surface,"No landing page code exists and no single CTA can be reviewed",Either build the page or keep first-use choice inside chat,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P3,INIT-E2-A4-01,landing_page,try_daily_insight,insight_first,branch_recommendation,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:T2",2,2,2,2,2,2,2,2,3,2,1,4,2,"INIT-03;VALUE-03",P1,Insight-first landing path is promised but not implemented,"Only concept pack exists and there is no real CTA surface",Do path recommendation in OpenClaw until a real landing entry exists,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P2,INIT-E3-A6-01,operator_interview,interview_then_execute,interview_first,task_card,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:T3",1,2,2,2,2,2,2,2,3,2,2,4,2,"INIT-06;VALUE-04",P1,Interview-first exists only as concept and not as runnable starter-task surface,"Mock task card exists but no console or API surface produces it",Expose starter tasks in OpenClaw and a recommendation contract in backend,"openclaw;backend;console"
2026-04-01T18:30:00+08:00,Codex,P3,INIT-E4-A4-01,direct_message,try_daily_insight,insight_first,branch_recommendation,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,4,4,3,3,4,3,3,3,3,1,1,2,3,"FLOW-04",P1,Exact daily insight command works but the lane is fragile,"daily insight -> daily_insight/start_daily_insight while hints promise unsupported refinements",Support or remove refinement commands before scaling insight-first,"backend;openclaw;shared"
2026-04-01T18:30:00+08:00,Codex,P1,INIT-E4-A1-01,direct_message,send_photos,video_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,4,4,3,3,4,4,3,3,3,2,2,2,3,"VALUE-02;INIT-05",P1,Natural photo send is accepted but still blocked by style choice,"listing_video/start_video with style_selection",Auto-recommend style and let user adjust later,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P5,INIT-E4-A7-01,direct_message,ask_price,trust_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,1,1,2,2,1,1,2,2,3,2,1,5,1,"TRUST-04;INIT-04",P1,Pricing question is dodged instead of answered,"How much is this per month? -> first_contact/welcome",Add explicit pricing/trial intent and a short ROI-safe reply,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P5,INIT-E2-A8-01,landing_page,passive_skim,trust_first,branch_recommendation,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:T5",1,1,2,1,2,2,2,2,3,2,1,4,1,"INIT-03;INIT-05",P1,There is no real low-risk passive entry surface yet,"No implemented landing page or single CTA exists",Use skip-the-form chat entry until a real passive surface ships,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P3,INIT-E2-A5-02,onboarding_form,resist_form,trust_first,single_next_step,manual_review,page_review,"console/templates/onboarding_form.html;console/templates/form_done.html",1,1,2,1,2,2,2,1,2,2,1,5,1,"INIT-05;VALUE-01;VALUE-03",P1,Resisting users have no try-before-fill escape hatch,"Form and done page both point only to later setup or later video use",Offer skip path and dual CTA after form completion,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P1,VIDEO-P1-01,direct_message,send_photos,video_first,single_next_step,manual_review,live_plus_mock,"doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv;doc/prelaunch-experience/mock-output-packs.json:T1",2,2,3,2,3,3,2,2,3,2,2,4,2,"VALUE-02",P1,Video-first path still risks asking too much before showing value,"Current first step is style choice not first sample or first win",Compress missing-info collection into one turn after momentum is established,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P1,VIDEO-P1-02,landing_page,ask_for_sample_first,video_first,branch_recommendation,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:V1;doc/prelaunch-experience/mock-output-packs.json:T4",2,2,3,2,2,2,2,2,3,2,1,4,2,"INIT-05;VALUE-01",P2,Sample-before-preference path is not implemented,"Only mock packs show the idea and the product still asks for style up front",Move style calibration after first sample or first draft,"backend;openclaw"
