kind,scenario_id,phone_key,phone,profile_state,text,has_media,status,http_status,intent,action,awaiting,response,text_commands,note,timestamp
live_dialogue,INIT-E1-A1-01,new_user_referral,+15550001001,new,(photos attached),True,OK,200,listing_video,start_video,style_selection,"Got your photos! 📸

Pick a style (type or tap):
• elegant ✨
• professional 💼
• energetic 🔥","{""next"": ""Wait for video generation"", ""examples"": [""(processing...)""]}","Referral entry, direct photo send",2026-04-01T15:41:20.618427+00:00
live_dialogue,INIT-E1-A2-01,new_user_referral,+15550001001,new,Is this an app? How do I use this?,False,OK,200,app_question,explain_use,,"No app install needed. Just chat with me here: send 6-10 listing photos for a video, or say 'daily insight' for a ready-to-post market update.","{""next"": ""Try one clear starter task"", ""examples"": [""(send photos)"", ""daily insight""]}","Referral entry, user asks if this is an app",2026-04-01T15:41:20.619584+00:00
live_dialogue,INIT-E1-A3-01,new_user_referral,+15550001001,new,How do I know this is secure and not spam?,False,OK,200,trust_question,reassure_trust,,Fair question. I only use the photos and requests you send here to make listing videos or market content. Safest first try: send 6-10 listing photos and you'll see exactly what comes back.,"{""next"": ""Try one clear starter task"", ""examples"": [""(send photos)"", ""daily insight""]}","Referral entry, user asks about security",2026-04-01T15:41:20.620597+00:00
live_dialogue,INIT-E4-A4-01,new_user_natural,+15550001002,new,daily insight,False,OK,200,daily_insight,start_daily_insight,,Got it — I can prepare a ready-to-post daily insight for you. 📈,"{""next"": ""Wait for the draft, then refine or publish"", ""examples"": [""shorter"", ""publish"", ""skip""]}","Natural traffic, new user asks for daily insight",2026-04-01T15:41:20.621554+00:00
live_dialogue,INIT-E4-A1-01,new_user_natural,+15550001002,new,(photos attached),True,OK,200,listing_video,start_video,style_selection,"Got your photos! 📸

Pick a style (type or tap):
• elegant ✨
• professional 💼
• energetic 🔥","{""next"": ""Wait for video generation"", ""examples"": [""(processing...)""]}","Natural traffic, new user sends photos with no context",2026-04-01T15:41:20.624135+00:00
live_dialogue,INIT-E4-A7-01,new_user_natural,+15550001002,new,How much is this per month?,False,OK,200,pricing_question,explain_pricing,,"I don't quote plan pricing inside this chat yet. The fastest way to evaluate it is to try one starter task first: send 6-10 listing photos, or say 'daily insight'.","{""next"": ""Try one clear starter task"", ""examples"": [""(send photos)"", ""daily insight""]}","Natural traffic, user asks price before trying",2026-04-01T15:41:20.625062+00:00
targeted_probe,PROBE-APP-01,new_user_referral,+15550001001,new,Is this an app? How do I use this?,False,OK,200,app_question,explain_use,,"No app install needed. Just chat with me here: send 6-10 listing photos for a video, or say 'daily insight' for a ready-to-post market update.","{""next"": ""Try one clear starter task"", ""examples"": [""(send photos)"", ""daily insight""]}",trust/setup confusion,2026-04-01T15:41:20.625924+00:00
targeted_probe,PROBE-PRICE-01,new_user_natural,+15550001002,new,How much per month?,False,OK,200,pricing_question,explain_pricing,,"I don't quote plan pricing inside this chat yet. The fastest way to evaluate it is to try one starter task first: send 6-10 listing photos, or say 'daily insight'.","{""next"": ""Try one clear starter task"", ""examples"": [""(send photos)"", ""daily insight""]}",pricing sensitivity,2026-04-01T15:41:20.626935+00:00
targeted_probe,PROBE-TRUST-01,new_user_referral,+15550001001,new,How do I know this is secure and not spam?,False,OK,200,trust_question,reassure_trust,,Fair question. I only use the photos and requests you send here to make listing videos or market content. Safest first try: send 6-10 listing photos and you'll see exactly what comes back.,"{""next"": ""Try one clear starter task"", ""examples"": [""(send photos)"", ""daily insight""]}",security trust question,2026-04-01T15:41:20.627804+00:00
targeted_probe,PROBE-FIRSTSTEP-01,new_user_natural,+15550001002,new,"I do not know these tools, tell me the first step",False,OK,200,first_step_question,recommend_starter_task,,"Start with one simple task: send 6-10 listing photos. If I still need your style, I'll ask one quick follow-up.","{""next"": ""Try one clear starter task"", ""examples"": [""(send photos)"", ""daily insight""]}",needs starter task framing,2026-04-01T15:41:20.628654+00:00
targeted_probe,PROBE-INSIGHTFIRST-01,new_user_natural,+15550001002,new,I do not have a listing today but I want daily content,False,OK,200,daily_insight,start_daily_insight,,Got it — I can prepare a ready-to-post daily insight for you. 📈,"{""next"": ""Wait for the draft, then refine or publish"", ""examples"": [""shorter"", ""publish"", ""skip""]}",insight-first natural phrasing,2026-04-01T15:41:20.629538+00:00
targeted_probe,PROBE-INSIGHT-REFINE-01,returning_user_with_insight,+15550001005,returning,shorter,False,OK,200,daily_insight_refinement,refine_daily_insight,,Got it — refining this daily insight now. ✍️,"{""next"": ""Refine again or publish"", ""examples"": [""shorter"", ""more professional"", ""publish"", ""skip""]}",post-insight refinement,2026-04-01T15:41:20.630750+00:00
targeted_probe,PROBE-POST-DELIVERY-01,returning_user_with_delivered_job,+15550001004,returning,more professional,False,OK,200,revision,submit_feedback,,Got it — adjusting now... ⚡,"{""next"": ""Send more photos or wait"", ""examples"": [""(send photos)"", ""help""]}",style keyword after delivery,2026-04-01T15:41:20.631909+00:00
targeted_probe,PROBE-POST-DELIVERY-02,returning_user_with_delivered_job,+15550001004,returning,make it more professional,False,OK,200,revision,submit_feedback,,Got it — adjusting now... ⚡,"{""next"": ""Send more photos or wait"", ""examples"": [""(send photos)"", ""help""]}",natural revision phrasing after delivery,2026-04-01T15:41:20.632942+00:00
